date,code,year,month,day,rcc,gcc
2019-05-07 00:00:00,jir011,2019,5,7,0.2649577000655969,0.3330257544347963
2019-05-08 00:00:00,jir011,2019,5,8,0.3286930190296768,0.3375389881809954
2019-05-08 00:00:00,jir011,2019,5,8,0.3354733432587561,0.3380850288336043
2019-05-08 00:00:00,jir011,2019,5,8,0.3440235202483479,0.3401176965557718
2019-05-08 00:00:00,jir011,2019,5,8,0.3423454361992419,0.3421785153785895
2019-05-08 00:00:00,jir011,2019,5,8,0.3409551971013994,0.3413031753577518
2019-05-08 00:00:00,jir011,2019,5,8,0.3379966547368071,0.3414614728898797
2019-05-08 00:00:00,jir011,2019,5,8,0.3408920422111118,0.3413738369798965
2019-05-08 00:00:00,jir011,2019,5,8,0.3390237429729461,0.3422057187445897
2019-05-08 00:00:00,jir011,2019,5,8,0.3408318785121222,0.3408821172014035
2019-05-08 00:00:00,jir011,2019,5,8,0.3398723271438464,0.3413398765740223
2019-05-08 00:00:00,jir011,2019,5,8,0.3459730946258573,0.3391972681664139
2019-05-09 00:00:00,jir011,2019,5,9,0.3441817661170894,0.3397766960103313
2019-05-09 00:00:00,jir011,2019,5,9,0.3442529529498738,0.3396476483512312
2019-05-09 00:00:00,jir011,2019,5,9,0.3430513862528169,0.3406587127490176
2019-05-09 00:00:00,jir011,2019,5,9,0.3106348066435412,0.3461071138599271
2019-05-09 00:00:00,jir011,2019,5,9,0.3444555521551917,0.346338497416937
2019-05-09 00:00:00,jir011,2019,5,9,0.3460278159400453,0.3459844248281131
2019-05-09 00:00:00,jir011,2019,5,9,0.3144417052096291,0.3482668097596374
2019-05-09 00:00:00,jir011,2019,5,9,0.3053438413161549,0.3474912205114667
2019-05-09 00:00:00,jir011,2019,5,9,0.2930411914653327,0.3448314101573178
2019-05-09 00:00:00,jir011,2019,5,9,0.2668786900345551,0.3376454728591858
2019-05-09 00:00:00,jir011,2019,5,9,0.2791955069282905,0.3350479551069115
2019-05-10 00:00:00,jir011,2019,5,10,0.3462278773827292,0.3426783956215948
2019-05-10 00:00:00,jir011,2019,5,10,0.3447659014415194,0.3455572302337085
2019-05-10 00:00:00,jir011,2019,5,10,0.3263322373500996,0.3493042569338437
2019-05-10 00:00:00,jir011,2019,5,10,0.3236973627073363,0.3526392034577854
2019-05-10 00:00:00,jir011,2019,5,10,0.330101914783907,0.3542872379004405
2019-05-10 00:00:00,jir011,2019,5,10,0.3488113936117847,0.3553481583497422
2019-05-10 00:00:00,jir011,2019,5,10,0.3467407536810498,0.3548874924767827
2019-05-10 00:00:00,jir011,2019,5,10,0.3238878955894676,0.3561619028500121
2019-05-10 00:00:00,jir011,2019,5,10,0.3209137553046475,0.3540621616527057
2019-05-10 00:00:00,jir011,2019,5,10,0.3062460447815445,0.3507058946528305
2019-05-10 00:00:00,jir011,2019,5,10,0.3256018778546909,0.3488163544345721
2019-05-11 00:00:00,jir011,2019,5,11,0.3370245214437751,0.3489313238910231
2019-05-11 00:00:00,jir011,2019,5,11,0.3379164330407645,0.3500355666500748
2019-05-11 00:00:00,jir011,2019,5,11,0.3364084005680766,0.3563603830744651
2019-05-11 00:00:00,jir011,2019,5,11,0.3398466668345574,0.359834565055553
2019-05-11 00:00:00,jir011,2019,5,11,0.3426753304055199,0.3655488939580335
2019-05-11 00:00:00,jir011,2019,5,11,0.3446384244857513,0.3682137891486656
2019-05-11 00:00:00,jir011,2019,5,11,0.3581249361287923,0.3674054009406544
2019-05-11 00:00:00,jir011,2019,5,11,0.3551547070194698,0.366186623017606
2019-05-11 00:00:00,jir011,2019,5,11,0.3445624003449123,0.3610091626760834
2019-05-11 00:00:00,jir011,2019,5,11,0.3303894793011666,0.3636174393111629
2019-05-11 00:00:00,jir011,2019,5,11,0.3440773829401963,0.3568502200841028
2019-05-12 00:00:00,jir011,2019,5,12,0.3430721524356575,0.3560607836349812
2019-05-12 00:00:00,jir011,2019,5,12,0.3426853917070023,0.3558307919021463
2019-05-12 00:00:00,jir011,2019,5,12,0.3388897321528464,0.3654313120412625
2019-05-12 00:00:00,jir011,2019,5,12,0.3537362560069812,0.369343895952225
2019-05-12 00:00:00,jir011,2019,5,12,0.3569147665051458,0.3712324246827544
2019-05-12 00:00:00,jir011,2019,5,12,0.3420197682303523,0.3802099670199747
2019-05-12 00:00:00,jir011,2019,5,12,0.3434388488130652,0.3787698095097146
2019-05-12 00:00:00,jir011,2019,5,12,0.3429089180829479,0.3838009439858261
2019-05-12 00:00:00,jir011,2019,5,12,0.3359558390086493,0.3738582266085216
2019-05-12 00:00:00,jir011,2019,5,12,0.3076641972198367,0.366702742448716
2019-05-12 00:00:00,jir011,2019,5,12,0.3044572950606815,0.3565774449613166
2019-05-13 00:00:00,jir011,2019,5,13,0.3538760967747718,0.3619798621881745
2019-05-13 00:00:00,jir011,2019,5,13,0.3503742913371311,0.3608494439017472
2019-05-13 00:00:00,jir011,2019,5,13,0.3517509148702157,0.3727622123980711
2019-05-13 00:00:00,jir011,2019,5,13,0.351773295473163,0.379838781977069
